API 10/UWI,OFS Region,State/Province,County/Parish,District,Land/Offshore,Contractor Name,Rig Name/Number,Draw Works,Rated HP,Power Type,Mobility,Operator Name,Lease Name,Well Number,Spud Date,Rig Latitude (WGS84),Rig Longitude (WGS84),Permit Number,Permit Approval Date,Permit Posted Date,Permit Depth,Permit Type,Well Type,Drill Type,Field,Formation,Formation Depth,Section,Township,Range,Block,Survey,Abstract,H2S Area,Contractor Contact,Contractor phone,Contractor Email,Contractor Address,Contractor City,Contractor State,Contractor Zip,Contractor Website,Operator Contact,Operator Phone,Operator Address,Operator City,Operator State,Operator Zip,Temporary Location,Directions to Location,Rig ID
0103520357,GULF COAST,Alabama,CONECUH (AL),,land,RAPAD Drilling,RAPAD 33,National 110-UE,1500,SCR,,"SKLAR EXPLORATION COMPANY, L.L.C.",CRAFT-MACK 7-8,#1,5/28/2018,31.3302958,-86.7863156,17284-B,5/11/2018,,11741,NewDrill,UNKNOWN,D,LITTLE CEDAR CREEK,SMACKOVER,0,7,04N,13.0E,,,,,Bruce Hightower,601-649-0760,bhightower@pruet.com,1309 Hillcrest Drive,Laurel,MS,39440,http://www.rapaddrilling.com,KIM ANDERSON,318-227-8668,401 EDWARDS ST STE 1601 ,SHREVEPORT,LA,71101,N,FROM LAUREL TAKE HWY 84 EAST T,3099
5010320771,WEST COAST,Alaska,HARRISON BAY (AK),,land,"Doyon Drilling, Inc",Doyon 19,DRECO DA 2000E,2000,,,CONOCOPHILLIPS ALASKA INC,GREATER MT UNIT,MT6-05L1,5/11/2018,70.2560325,-151.4817216,2180460,4/20/2018,,,NewDrill,OIL,V,GREATER MOOSES TOOTH,ALPINE UNDEFINED OIL,0,6,10N,03.0E,,,,,Amber Teigen,907-563-5530,ateigen@doyondrilling.com,"11500 C Street, Ste 200",Anchorage,AK,99515,http://www.doyondrilling.com,,907-276-1215,700 G STREET STE 1950 ,ANCHORAGE,AK,99501,N,,5617
5002923601,WEST COAST,Alaska,BEECHEY POINT (AK),,land,"Doyon Drilling, Inc",Doyon 142,National Oilwell Varco SSGD 360,2300,,,CONOCOPHILLIPS ALASKA INC,KUPARUK RIV UNIT,1H-110,5/15/2018,70.3581535,-149.6005581,2180310,4/23/2018,,,NewDrill,OIL,V,KUPARUK RIVER,WEST SAK OIL,0,28,12N,10.0E,,,,,Amber Teigen,907-563-5530,ateigen@doyondrilling.com,"11500 C Street, Ste 200",Anchorage,AK,99515,http://www.doyondrilling.com,,907-276-1215,700 G STREET STE 1950 ,ANCHORAGE,AK,99501,N,,5620
0313913557,ARKLATEX,Arkansas,UNION (AR),,land,"Fran Oil Company, Inc.",Fran 1,Brewster N-4,600,MECH,None,GOLDSTON OIL CORPORATION,"PITTSER, ET AL     1",1,5/31/2018,33.0615999,-92.8625489,48081,1/8/2018,,,NewDrill,OIL,V,WILDCAT,SMACKOVER,,21,19.0S,17.0W,,,,,Bill Andries,318-471-3417,,981 Marthaville Road,Many,LA,71449,,DANIEL,,P.O. BOX 570365 ,HOUSTON,TX,77257,N,"1. Head west on W Hillsboro St toward Barton StPass by KFC (on the left) (Distance: 0.3 miles, Est. Time: 0:00:50); 2. Turn left onto Marsh Ave (Distance: 0.3 miles, Est. Time: 0:00:52); 3. Turn right onto Robert E Lee St (Distance: 1.2 miles, Est. Time: 0:02:21); 4. Continue onto Haynesville Hwy (Distance: 13.9 miles, Est. Time: 0:16:23); 5. Turn left onto 3 Creeks Rd (Distance: 1.2 miles, Est. Time: 0:02:14); 6. Turn right onto Union Rd 284 (Distance: 554.5 feet, Est. Time: 0:00:27); 7. Continue straight (Distance: 777.6 feet, Est. Time: 0:00:30); Total Distance: 17.2 miles, Total Est. Time: 0:23:37; Rig is located 698.5 feet to the W.",3746
0313913558,ARKLATEX,Arkansas,UNION (AR),,land,"Reliance Well Service, Inc",Reliance 3,MESA 1000,1000,MECH,None,GREAT LAKES CHEMICAL CORPORATION ,BRINE SUPPLY WELL,23S,5/16/2018,33.04982,-92.63355,48082,2/1/2018,,11800,Amended,SALTWATER INJECTION,D,CATESVILLE,SMACKOVER,0,22,19.0S,15.0W,,,,,,870-234-2700,,237 Hwy 79 South,Magnolia,AR,71753,,RODGER FULCO,870-864-1570,PO BOX 7020 ,EL DORADO,AR,71730,N,"1. Head east on W Hillsboro St toward S West Ave (Distance: 0.8 miles, Est. Time: 0:02:15); 2. Continue onto Junction City Rd (Distance: 0.9 miles, Est. Time: 0:02:26); 3. Turn right to merge onto US-167 S/US-63 S/US Hwy 63 S (Distance: 4.7 miles, Est. Time: 0:05:33); 4. Turn left onto AR-7 S (Distance: 5.1 miles, Est. Time: 0:05:32); 5. Turn right onto Caledonia Rd (Distance: 3.2 miles, Est. Time: 0:05:07); 6. Turn left onto Williams Rd (Distance: 0.7 miles, Est. Time: 0:01:54); Total Distance: 15.4 miles, Total Est. Time: 0:22:47; Rig is located 0.5 miles to the S.",4070
0425901909,WEST COAST,California,LOS ANGELES (CA),,land,CALIFORNIA RESOURCES CORPORATION,Ensign 609,,,MECH,None,THUMS LONG BEACH CO.,STATE PRC 425,A-304,5/16/2018,33.6621933,-118.0435486,,,,,,,,,,,,,,,,,,,(888) 848-4754,,9200 Oakdale Avenue - 9th Floor,Los Angeles,CA,91311,http://www.crc.com/,,,,,,,N,"1. Head southeast on W 1st St toward N Main St (Distance: 462.6 feet, Est. Time: 0:00:30); 2. Turn left onto N Los Angeles St (Distance: 0.3 miles, Est. Time: 0:01:17); 3. Turn right to merge onto US-101 S toward Interstate 10 Fwy E/Interstate 5 Fwy S (Distance: 0.8 miles, Est. Time: 0:01:11); 4. Keep right at the fork to stay on US-101 S, follow signs for CA-60 E/Interstate 5 S (Distance: 2.0 miles, Est. Time: 0:02:07); 5. Keep left to stay on US-101 S (Distance: 0.3 miles, Est. Time: 0:00:18); 6. Merge onto I-5 S (Distance: 8.8 miles, Est. Time: 0:09:54); 7. Take exit 124 to merge onto I-605 S (Distance: 11.5 miles, Est. Time: 0:10:44); 8. Take exit 1B on the left to merge onto I-405 S/San Diego Fwy toward San Diego/CA-22 E/Garden Grove (Distance: 1.3 miles, Est. Time: 0:01:17); 9. Take exit 22 for Seal Beach Blvd (Distance: 0.4 miles, Est. Time: 0:01:09); 10. Turn left onto Seal Beach BlvdPass by Starbucks (on the right in 1.1 mi) (Distance: 2.6 miles, Est. Time: 0:05:31); 11. Turn left onto CA-1 SPass by Starbucks (on the left in 1.8 mi) (Distance: 6.1 miles, Est. Time: 0:09:24); 12. Turn right (Distance: 65.6 feet, Est. Time: 0:00:31); Total Distance: 34.3 miles, Total Est. Time: 0:43:53; Rig is located 2.1 miles to the SW.",3955
0425921766,WEST COAST,California,ORANGE (CA),,land,"Ensign Energy Services, Inc.",Ensign 550,Pacific Rim DM1-1500A,1500,AC,Walking,CALIFORNIA RESOURCES PRODUCTION CORPORATION,STATE PRC 425,736,5/23/2018,33.6744892,-118.0249567,TEMP1395171131,2/10/2018,,,NewDrill,OIL & GAS,V,HUNTINGTON BEACH,NOT REPORTED,0,4,06.0S,11.0W,,,,,,800-886-3898,,"1700 Broadway, Ste 777",Denver,CO,80290,http://www.ensignenergy.com,ROBERT BORDENAVE JR,661-869-8000,11109 RIVER RUN BLVD. ,BAKERSFIELD,CA,93311,N,"1. Head west on W 1st St toward S Sycamore St (Distance: 255.9 feet, Est. Time: 0:00:16); 2. Make a U-turn at S Sycamore StPass by McDonald's (on the left in 0.2 mi) (Distance: 1.5 miles, Est. Time: 0:05:15); 3. Turn right onto the Interstate 5 S ramp (Distance: 872.7 feet, Est. Time: 0:00:24); 4. Merge onto I-5 S (Distance: 0.3 miles, Est. Time: 0:00:19); 5. Take exit 103 to merge onto CA-55 S/State Rte 55 S toward Newport Beach (Distance: 4.3 miles, Est. Time: 0:04:07); 6. Take exit 6A to merge onto I-405 N (Distance: 4.9 miles, Est. Time: 0:04:32); 7. Take exit 14 for Brookhurst St toward Fountain Valley (Distance: 948.2 feet, Est. Time: 0:00:14); 8. Keep left at the fork, follow signs for Brookhurst St S and merge onto Brookhurst St (Distance: 0.7 miles, Est. Time: 0:01:33); 9. Turn right onto Talbert AvePass by The Habit Burger Grill (on the left in 2.0 mi) (Distance: 2.6 miles, Est. Time: 0:06:52); 10. Turn left onto Gothard St (Distance: 0.8 miles, Est. Time: 0:01:54); 11. Turn right onto Ernest Dr (Distance: 1299.2 feet, Est. Time: 0:00:40); 12. Turn left onto Goldenwest St (Distance: 1.7 miles, Est. Time: 0:03:41); 13. Turn right onto CA-1 NDestination will be on the right (Distance: 0.6 miles, Est. Time: 0:00:54); Total Distance: 18.1 miles, Total Est. Time: 0:30:41; Rig is located 210.9 feet to the NE.",4043
0402988081,WEST COAST,California,KERN (CA),,land,"Ensign Energy Services, Inc.",Ensign 604,,,MECH,,CHEVRON U.S.A. INC.,GREEN & WHITTIER A,306,5/31/2018,35.4572016,-119.0096612,TEMP1447274454,1/14/2017,,,Other,CYCLIC STEAM,V,KERN RIVER,KERN RIVER,0,30,28.0S,28.0E,,,,,,800-886-3898,,"1700 Broadway, Ste 777",Denver,CO,80290,http://www.ensignenergy.com,,(661) 654-7065,P.O. BOX 1392 CITY UNKNOWN,"BAKERSFIELD,",CA,93302,N,"1. Head north on Chester Ave toward Truxtun Ave (Distance: 0.5 miles, Est. Time: 0:02:32); 2. Turn right after Jack in the Box (on the right)Continue to follow CA-178 EPass by Sonic Drive-In (on the right) (Distance: 0.3 miles, Est. Time: 0:00:51); 3. Take exit 2B for Union Ave (Distance: 0.5 miles, Est. Time: 0:00:48); 4. Merge onto W Monterey St (Distance: 324.8 feet, Est. Time: 0:00:16); 5. Turn left onto Union AvePass by Burger King (on the left in 0.6 mi) (Distance: 1.1 miles, Est. Time: 0:02:57); 6. Slight left onto Manor St (Distance: 3.4 miles, Est. Time: 0:05:04); 7. Turn right onto N Chester Ave (Distance: 0.5 miles, Est. Time: 0:00:53); 8. Turn right onto N Chester Ave/S Granite Rd (Distance: 1017.1 feet, Est. Time: 0:00:27); 9. Continue onto N Chester Ave Ext (Distance: 0.6 miles, Est. Time: 0:00:52); 10. Turn right onto Warehouse Rd (Distance: 1.0 miles, Est. Time: 0:02:48); 11. Turn leftDestination will be on the left (Distance: 0.3 miles, Est. Time: 0:00:56); Total Distance: 8.6 miles, Total Est. Time: 0:18:24; Rig is located 222.9 feet to the W.",4044
0403721323,WEST COAST,California,LOS ANGELES (CA),,land,"Ensign Energy Services, Inc.",Ensign 540,Ensign ADR 350,900,AC,Skid,SOUTHERN CALIFORNIA GAS COMPANY,STANDARD SESNON,25B,4/27/2018,34.3150973,-118.5641145,TEMP1301459186,7/30/2016,,,Other,STORAGE,V,ALISO CANYON,SESNON-FREW,0,28,03.0N,16.0W,,,,,,800-886-3898,,"1700 Broadway, Ste 777",Denver,CO,80290,http://www.ensignenergy.com,ROBERTO DENTICI,909-307-7070,555 W 5TH ST ML-17G4 ,LOS ANGELES,CA,90013,N,"1. Head northwest on W 1st St toward N Spring St (Distance: 757.9 feet, Est. Time: 0:00:50); 2. Turn right onto N Broadway (Distance: 0.4 miles, Est. Time: 0:01:41); 3. Turn right to merge onto US-101 N toward I-110 N (Distance: 10.4 miles, Est. Time: 0:13:01); 4. Keep left at the fork to continue on CA-170 N/Hollywood Fwy, follow signs for Sacramento/170 N (Distance: 6.0 miles, Est. Time: 0:05:31); 5. Take exit 11B on the left for Interstate 5 N toward Sacramento (Distance: 0.8 miles, Est. Time: 0:00:48); 6. Merge onto I-5 N (Distance: 2.0 miles, Est. Time: 0:01:53); 7. Take exit 156A toward CA-118 W (Distance: 0.9 miles, Est. Time: 0:00:56); 8. Merge onto CA-118 W (Distance: 8.1 miles, Est. Time: 0:07:12); 9. Take exit 35 for De Soto Ave (Distance: 0.3 miles, Est. Time: 0:00:32); 10. Turn right onto Browns Canyon Rd (Distance: 177.2 feet, Est. Time: 0:00:08); 11. Turn right to stay on Browns Canyon Rd (Distance: 3.4 miles, Est. Time: 0:11:51); 12. Continue onto Palo Sola Truck Rd (Distance: 2.8 miles, Est. Time: 0:12:41); 13. Turn right toward Palo Sola Truck Rd (Distance: 255.9 feet, Est. Time: 0:00:14); 14. Continue straight onto Palo Sola Truck Rd (Distance: 2.5 miles, Est. Time: 0:08:53); 15. Turn right (Distance: 0.3 miles, Est. Time: 0:01:10); 16. Turn leftDestination will be on the right (Distance: 0.6 miles, Est. Time: 0:01:42); Total Distance: 38.8 miles, Total Est. Time: 1:09:03; Rig is located 216.3 feet to the W.",3384
0403041678,WEST COAST,California,KERN (CA),,land,"Ensign Energy Services, Inc.",Ensign 548,Ensign ADR 200,900,AC,Skid,CHEVRON U.S.A. INC.,(N/A),43A,5/29/2018,35.1176396,-119.4560086,TEMP993591760,4/7/2018,,,Other,CYCLIC STEAM,V,MIDWAY-SUNSET,NO POOL BREAKDOWN,0,25,32S,23.0E,,,,,Mike Pierce,800-886-3898,mike.pierce@ensignenergy.com,"1700 Broadway, Ste 777",Denver,CO,80290,http://www.ensignenergy.com,WILLIAM BRANNON,661-654-7065,PO BOX 1392 ,BAKERSFIELD,CA,93308,N,"1. Head north on Truxtun Ave toward Truxtun Ave (Distance: 2.1 miles, Est. Time: 0:05:19); 2. Take the ramp to Westside Pkwy (Distance: 0.5 miles, Est. Time: 0:00:33); 3. Continue onto Westside Pkwy (Distance: 6.6 miles, Est. Time: 0:05:59); 4. Continue onto Stockdale Hwy (Distance: 4.3 miles, Est. Time: 0:04:56); 5. Turn left onto CA-43 S/Enos Ln (Distance: 6.0 miles, Est. Time: 0:06:52); 6. Turn right onto CA-119 W (Distance: 16.6 miles, Est. Time: 0:18:12); 7. Continue straight onto CA-33 S (Distance: 0.3 miles, Est. Time: 0:00:24); 8. Turn right onto Wood St (Distance: 0.6 miles, Est. Time: 0:01:25); 9. Turn left onto Olive Ave (Distance: 938.3 feet, Est. Time: 0:00:39); 10. Continue onto 25 Hill RdDestination will be on the left (Distance: 0.9 miles, Est. Time: 0:02:07); Total Distance: 38.2 miles, Total Est. Time: 0:46:26; Rig is located 149.0 feet to the E.",3385
